Company,Last Name,First Name,Mobile Phone,Phone,Zip,State,City,Address 1,WebSite,E-mail,Contact
St. Paul Community Center,Davila,Mary,+1 (210) 413-7714,+1 (210) 736-0055,78228,TX,San Antonio,1201 Donaldson,www.StPaulCommunityCenter.org,mdavila@saintpaulsa.org,Mary Davila
Starlight Fireworks & Special Effects,Warwick,Tina,+1 (512) 801-5492,+1 (512) 801-5492,78748,TX,Austin,1617 Cattle Trail,www.Starlightfireworks.com,tina@starlightfireworks.com,Tina Warwick
Starlite Entertainment & Productions,Deleon,Henry,+1 (210) 386-3722,+1 (210) 733-3806,78212,TX,San Antonio,P. O. Box 12545,www.starlite-sa.com,dijudi@judideleon.com,Henry Brun & Judi Deleon
STEP,Blalock,Tammy,+1 (830) 570-2379,+1 (210) 560-1644,,,,,www.sotxep.com,tammy@atagirlphoto.com,Tammy Blalock
Stone Oak Jewelers,Bowling,DeAnna,+1 (210) 262-6612,+1 (210) 403-3900,78258,TX,San Antonio,"18730 Stone Oak Pkwy., Suite 104",www.stoneoakjewelers.com,deannabowling@aol.com,DeAnna Bowling
Straughan Photography,Straughan,Chrystina,+1 (210) 445-9837,+1 (210) 369-8215,78108,TX,Cibolo,3517 Columbia Street,www.SanAntonioWeddingPhotography.com,strphoto@gmail.com,Chrystina Straughan
Strawberry Pines,Henry,Darlene,,+1 (210) 296-1764,78065,TX,Poteet,1287 West FM 476,www.StrawberryPines.com,darlene@strawberrypines.com,Darlene Henry
Sun Gold Photography,Williams,Paula,+1 (830) 708-9665,+1 (830) 609-9018,78130,TX,New Braunfels,626 Calhoun Dr.,www.sungoldphotography.com,paula@sungoldphoto.com,Paula Williams
Sunset Ranch,Collins,Vicki,,+1 (830) 992-0001,78624,TX,Fredericksburg,123 Golden Sunset Trail,http://sunsetrancheventcenter.com/,sunsetrancheventcenter@gmail.com,Vicki Collins
Sunset Station,Hernandez,Molly,,+1 (210) 474-7643,78205,TX,San Antonio,1174 E. Commerce Street,,mnhernandez@therkgroup.com,Molly N. Hernandez
Sweet Traditions,Stansberry,Lynda,+1 (210) 287-4022,+1 (210) 287-4022,78233,TX,Live Oak,7414 Oak Marsh,www.sweettraditionscakes.com,lyndafoxstansberry@gmail.com,Lynda Stansberry
Tapatio Springs Hill Country Resort & Spa,Falloon,Jonathan,+1 (214) 929-9341,+1 (830) 537-4611,78006,TX,Boerne,1 Resort Way,www.TapatioResort.com,jfalloon@tapatio.com,Jonathan Falloon
Team One Luxury Charters,Medellin,Katie & Joey,,+1 (830) 237-2038,78130,TX,New Braunfels,PO Box 310115,https://www.teamoneluxurycharters.com/,teamoneluxurycharters@gmail.com,Katie & Joey Medellin
Terry Muska - Classical Guitarist,Muska,Terry,+1 (210) 363-6203,+1 (210) 363-6203,78232,TX,San Antonio,2243 Rippling Rill,www.terrymuska.com,tmuska@aol.com,Terry Muska
Texas Wedding Ministers,Taylor-Esparza,Kari,,+1 (210) 860-5680,78232,TX,San Antonio,14307 Turtle Rock Dr.,www.txweddingministers.com,info@everlastingelopements.com,Kari Taylor-Esparza
Tim the Girl Catering,McDiarmid,Tim,+1 (210) 687-0633,+1 (646) 241-6907,78210,TX,San Antonio,1127 South St. Mary's St,http://timthegirl.com/,tim@timthegirl.com,Tim McDiarmid
Timeless Moments by Design,Obregon,Susan,,+1 (210) 326-6205,78254,TX,San Antonio,9711 Quiet Lake,http://timelessmomentsbydesign.vpweb.com/,susan@timelessmomentsbydesign.com,Susan Obregon
Tin Can Custard Co.,Stannard,Jennifer,+1 (830) 446-8837,+1 (830) 446-8837,78006,TX,Boerne,607 E Blanco #1871,https://tincancustard.com/,tincancustard@gmail.com,Jennifer Stannard
Tower of the Americas,Boland,Jennifer,,+1 (210) 223-3101,78205,TX,San Antonio,739 East Cesar E. Chavez,www.toweroftheamericas.com,jboland@ldry.com,Jennifer Boland
True Flavors,Hernandez,Mark,+1 (210) 663-8772,+1 (210) 226-3670,78201,TX,San Antonio,1715 N. Trinity,www.trueflavors.com,mhernandez@trueflavors.com,Mark Hernandez
Under The Sun Photography,Rakowitz,Jessica,,+1 (830) 569-9784,78064,TX,Pleasanton,830 Rakowitz Lane,https://underthesunphotography.com/,jessica@underthesunphotography.com,Jessica Rakowitz
Unleashed Boudoir,Fryer,Lauren,+1 (210) 296-4213,+1 (210) 296-4213,78253,TX,San Antonio,2114 Nellie Way,www.unleashedboudoirsa.com,lauren@laurenfryer.com,Lauren Fryer
Uptown Flowers,Garza,William,,+1 (210) 224-9888,78205,TX,San Antonio,202 Broadway,www.uptownflowers.com,uptownflowers@aol.com,William Garza
Vega's DJ Photobooth Services,Vega,Robert,,+1 (210) 838-0688,78260,TX,San Antonio,411 Deer Cross Lane,www.vegasphotoboothsa.com,robertvegajr@vegasdjservices.com,Robert Vega
Vega's Event Group,Vega,Robert,+1 (210) 527-7840,+1 (210) 838-0688,78260,TX,San Antonio,411 Deer Cross Lane,www.vegaseventgroup.com,robert@vegaseventgroup.com,Robert Vega
"Veranda, The",Bomberg,Mike,+1 (210) 396-1409,+1 (210) 366-1220,78213,TX,San Antonio,1746 Lockhill Selma,www.theverandasa.com,chef@theverandasa.com,Mike Bomberg
"Very Good Hair Day, A",Coop,Mary,,+1 (210) 836-5885,78251,TX,San Antonio,2303 Frontier Trail,www.averygoodhairday.com,maryecoop@gmail.com,Mary Coop
"Villa at Cielo Vista, The",Dominguez,Bertha,,+1 (210) 698-1654,78255,TX,San Antonio,21350 Cielo Vista,www.TheVillaAtCieloVista.com,weddings@thevillaatcielovista.com,Bertha Dominguez
Village Venue,Moore,Micki,,+1 (830) 460-3500,78130,TX,New Braunfels,2032 Central Plaza,www.villagevenuenb.com,Micki@villagevenuenb.com,Micki Moore
"Vintage Bouquet, The",Mauricio-Flores,Ashley,,+1 (210) 510-8862,78215,TX,San Antonio,200 E Grayson #108,https://www.thevintagebouq.com/,info@thevintagebouq.com,Ashley Mauricio-Flores
"Vinyl Diva Studio, The",Short,Rhonda,,+1 (210) 834-8391,78251,TX,San Antonio,10650 Culebra Rd. Suite 104 - 143,www.thevinyldivastudio.etsy.com,thevinyldiva@outlook.com,Rhonda Short
Walstonphoto,Walston,Royce & Michelle,,+1 (210) 827-0784,78217,TX,San Antonio,4530 Bridgewood,http://www.walstonphoto.com,royce@walstonphoto.com,Royce & Michelle Walston
Walters Wedding Estates,Cruz,Sydney,,,75065,TX,Hickory Creek,1851 Turbeville Road,http://www.hiddenfallsevents.com/,scruz@waltersweddingestates.com,Sydney Cruz
Wanda Deagen Dance Studio,Deagen,Wanda,,+1 (210) 381-6625,78228,TX,San Antonio,206 Gettysburg Road,www.wandadeagen.com,wdeagen@wandadeagen.com,Wanda Deagen
Wedding & Event Designs By Pamela,Rodriguez,Pamela,,+1 (210) 887-8327,78163,TX,Bulverde,3785 Cremini Dr,www.wedbypamela.com,pamela@wedbypamela.com,Pamela Rodriguez
Wedding Fair Show,Enslow,Gary,+1 (210) 275-9510,+1 (210) 275-9510,78114,TX,Floresville,9207 CR 401,www.weddingfairshow.com,gary@weddingfairshow.com,Gary Enslow
"Weddings by Diana Boucher, LLC",Boucher,Diana,+1 (210) 854-8721,+1 (210) 854-8721,78023,TX,Helotes,"12274 Bandera Road, Ste 213",www.weddingsbydianaboucher.com,diana@weddingsbydianaboucher.com,Diana Boucher
Western Sky Wedding & Event Venue,Holliday,Lindsay,,+1 (830) 980-2226,78163,TX,Bulverde,315 Obst Road,www.WesternSkyEvents.com,lindsay@tejasrodeo.com,Lindsay Holliday
"Westin Riverwalk, The",Thiemann,Lori,,+1 (210) 444-6025,78205,TX,San Antonio,420 Market Street,www.westinriverwalk.com,Lori.Thiemann@Westin.com,Lori Thiemann
"Woodward House, The",Burney,Ferne,+1 (210) 508-4811,+1 (210) 732-4811,78212,TX,San Antonio,1717 San Pedro Ave.,www.TheWomansClubofsa.org,womansclubofsa@aol.com,Ferne Burney
Wyndham Garden San Antonio Riverwalk/Museum Reach Hotel,Weis,Cassandra,,+1 (210) 515-4555,78215,TX,San Antonio,103 9th Street,www.wyndham.com/hotels/21563,cassandra@wyndhamsahotel.com,Cassandra Weis
Wyndham San Antonio Riverwalk,Saldana,Isabel,,+1 (210) 362-6499,78205,TX,San Antonio,111 East Pecan Street,www.wyndhamsariverwalk.com,isabel.saldana@sawyn.com,Isabel Saldana
